conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.90133E+18,Sun Mar 16 17:51:38 +0000 2025,0,Ketua Umum Dugaan Tidak Mendukung Program Presiden RI terkait Efesiensi Anggaran KPK Sita Uang dan Dokumen. . . . . . #gardaprabowo #gardaprabowosumse,1.90133E+18,,gardaprabo96140,in,Palembang ,0,0,0,https://x.com/gardaprabo96140/status/1901330531264135335,1.86495E+18,gardaprabo96140
1.90107E+18,Sun Mar 16 17:42:48 +0000 2025,9,@itsquaileggs Kritikan gw buat pemerintah saat ini? Dwi fungsi ABRI (walaupun PDIP yang merupakan oposisi ikut terlibat) efesiensi anggaran yang kurang sasaran (bahkan gw aja minta dana buat bikin tulisan internasional aja kemungkinan gagal) Indonesia masuk BRICS ngapain dll,1.90133E+18,,PendosaKecil25,in,,0,0,0,https://x.com/PendosaKecil25/status/1901328307020579103,9.8839E+17,PendosaKecil25
1.90095E+18,Sun Mar 16 16:59:03 +0000 2025,0,@redzone6128 @viceversa4you @zarryhendrik Sebutin dong efesiensi yg merugikan anggaran yg terkait,1.90132E+18,,redzone6128,in,,0,2,0,https://x.com/asrliiiii/status/1901317298235040168,1.72074E+18,asrliiiii
1.90093E+18,Sun Mar 16 14:04:19 +0000 2025,0,@alisyarief Efesiensi anggaran kok rapatnya malah di hotel,1.90127E+18,,alisyarief,in,,0,0,0,https://x.com/Linkar_muda/status/1901273326779257080,226466619,Linkar_muda
1.90127E+18,Sun Mar 16 13:59:28 +0000 2025,0,@prabowo mencanangkan efesiensi anggaran tapi rapat di hotel mewah. ndasmu ,1.90127E+18,,prabowo,in,,0,0,0,https://x.com/DidiSupard90648/status/1901272106681426385,1.87567E+18,DidiSupard90648
1.90121E+18,Sun Mar 16 13:40:13 +0000 2025,0,@barengwarga @corbuzier maaf om mau tnya knp rpatnya dilakukan di hotel apakah negara ga punya fasiitas untuk menggelar sbuah rapat seperti itu? bukankah pak @prabowo sedang intens menyerukan efesiensi anggaran? seurgensi apa sampai dilakukan disebuah hotel yg tentu mengeluarkan biaya lebih,1.90127E+18,,barengwarga,in,,0,0,0,https://x.com/NegriBadut/status/1901267260431630411,154157910,NegriBadut
1.90105E+18,Sun Mar 16 12:07:38 +0000 2025,26,@abu_waras Mungkin ini salah satu contoh efesiensi anggaran. Satu foto untuk semua untuk ijazah dan foto nikah.,1.90124E+18,,abu_waras,in,,0,0,0,https://x.com/DMieaceh80579/status/1901243960259215433,1.81351E+18,DMieaceh80579
1.90093E+18,Sat Mar 15 20:20:07 +0000 2025,3,@EdsNababan yg norak itu lo di tengah seruan Presiden soal efesiensi anggaran mereka yg terhormat malah mengadakan rapat di hotel,1.90101E+18,,EdsNababan,in,,0,0,0,https://x.com/demokrasi_ruwet/status/1901005512017408345,1.84177E+18,demokrasi_ruwet
1.90095E+18,Sat Mar 15 19:50:34 +0000 2025,0,@realfedinuril Bukan nya ada efisiensi anggaran ya? Rapat rapat Sepertinya tidak mencerminkan tentang efesiensi,1.901E+18,,realfedinuril,in,,0,0,0,https://x.com/OSumantry31744/status/1900998074493006075,1.8019E+18,OSumantry31744
1.90098E+18,Sat Mar 15 18:59:38 +0000 2025,1,@blank0429 Ono gedung DPR kenapa harus di hotel mewah? Katanya mau melakukan efesiensi anggaran piye dab?! https://t.co/YXH6h5wlym,1.90099E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900985211883802624/pu/img/-epDuW2mP-1Yo3Eb.jpg,blank0429,in,,0,1,0,https://x.com/PakBebek1/status/1900985258029518854,1.52705E+18,PakBebek1
